Word,Part of speech,affixation,meaning,example,English example,source
maidlak,adjective,,glittering or sparkling,,,https://en.wiktionary.org/wiki/maidlak
mainit,adjective,,"hot, sweltering
Antonym: malipot",,,https://en.wiktionary.org/wiki/mainit
mainpolon,adjective,,round,,,https://en.wiktionary.org/wiki/mainpolon
maingol,adjective,,"rare, scarce",,,https://en.wiktionary.org/wiki/maingol
maitum,adjective,,black,,,https://en.wiktionary.org/wiki/maitum
makakululba,adjective,,"intimidating, disconcerting",,,https://en.wiktionary.org/wiki/makakululba
malipayon,adjective,,"happy
Antonym: subo",,,https://en.wiktionary.org/wiki/malipayon
malolot,adjective,,"affectionate, tender",,,https://en.wiktionary.org/wiki/malolot
manipis,adjective,,thin,,,https://en.wiktionary.org/wiki/manipis
mango,adjective,,"A tropical Asian fruit tree, Mangifera indica.
1980, Bruce Chatwin, The Viceroy of Ouidah, page 146:On the hot days, he would lie in the shade of a mango and let little Eugenia clamber over his belly and tug at his beard.",,,https://en.wiktionary.org/wiki/mango
mapait,adjective,,bitter,,,https://en.wiktionary.org/wiki/mapait
mapiguson,adjective,,harsh,,,https://en.wiktionary.org/wiki/mapiguson
mapinatopatoon,adjective,,"creative, imaginative, inventive",,,https://en.wiktionary.org/wiki/mapinatopatoon
mapinatuboon,adjective,,"(of soil) good, fertile, productive",,,https://en.wiktionary.org/wiki/mapinatuboon
marabo,adjective,,"tasty, savoury
Antonym: maganás",,,https://en.wiktionary.org/wiki/marabo
maramig,adjective,,cold,,,https://en.wiktionary.org/wiki/maramig
mataas,adjective,,"high, tall",,,https://en.wiktionary.org/wiki/mataas
matahum,adjective,,"beautiful, seemly, pretty",,,https://en.wiktionary.org/wiki/matahum
matalaw,adjective,,"cowardly
Synonyms: matalsot, kobarde",,,https://en.wiktionary.org/wiki/matalaw
matam-is,adjective,,sweet,,,https://en.wiktionary.org/wiki/matam-is
matataas,adjective,,"high, exalted
Synonym: matáas",,,https://en.wiktionary.org/wiki/matataas
mauswagon,adjective,,"progressive; advanced
usa ka mauswagong lungsoda progressive town",,,https://en.wiktionary.org/wiki/mauswagon
Negrense,adjective,,A native or inhabitant of the Philippine island of Negros,,,https://en.wiktionary.org/wiki/Negrense
Passinhon,adjective,,resident or inhabitant of Passi,,,https://en.wiktionary.org/wiki/Passinhon
patay,adjective,,to kill,,,https://en.wiktionary.org/wiki/patay
pigaw,adjective,,"frail, weak",,,https://en.wiktionary.org/wiki/pigaw
pobre,adjective,,"poor; impoverished
Synonym: mahidap
Antonym: mayaman
Pobre sana kami.We're just poor",,,https://en.wiktionary.org/wiki/pobre
Pototanon,adjective,,resident or inhabitant of Pototan,,,https://en.wiktionary.org/wiki/Pototanon
pulut,adjective,,nominative plural of pulu,,,https://en.wiktionary.org/wiki/pulut
rami,adjective,,plural of ramus,,,https://en.wiktionary.org/wiki/rami
ramig,adjective,,cold,,,https://en.wiktionary.org/wiki/ramig
